Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2045.0-2046.0,288,72,0.25,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2046.0-2047.0,220,77,0.35,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2047.0-2048.0,251,87,0.3466135458167331,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2048.0-2049.0,293,58,0.19795221843003413,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2049.0-2050.0,238,96,0.40336134453781514,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2050.0-2051.0,259,87,0.3359073359073359,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2051.0-2052.0,242,91,0.3760330578512397,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2052.0-2053.0,245,65,0.2653061224489796,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2053.0-2054.0,257,99,0.3852140077821012,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2054.0-2055.0,307,84,0.2736156351791531,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2055.0-2056.0,244,100,0.4098360655737705,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2056.0-2057.0,238,74,0.31092436974789917,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2057.0-2058.0,296,65,0.2195945945945946,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2058.0-2059.0,286,105,0.36713286713286714,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2059.0-2060.0,238,56,0.23529411764705882,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2060.0-2061.0,253,82,0.3241106719367589,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2061.0-2062.0,238,104,0.4369747899159664,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2062.0-2063.0,276,98,0.35507246376811596,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2063.0-2064.0,196,98,0.5,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2064.0-2065.0,238,95,0.39915966386554624,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2065.0-2066.0,238,75,0.31512605042016806,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2066.0-2067.0,288,87,0.3020833333333333,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2067.0-2068.0,282,87,0.30851063829787234,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2068.0-2069.0,293,74,0.2525597269624573,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2069.0-2070.0,259,83,0.3204633204633205,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2070.0-2071.0,259,56,0.21621621621621623,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2071.0-2072.0,251,92,0.3665338645418327,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2072.0-2073.0,276,94,0.34057971014492755,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2073.0-2074.0,238,81,0.3403361344537815,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2074.0-2075.0,269,66,0.24535315985130113,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2075.0-2076.0,207,64,0.30917874396135264,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2076.0-2077.0,240,68,0.2833333333333333,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2077.0-2078.0,239,97,0.40585774058577406,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2078.0-2079.0,237,88,0.37130801687763715,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2079.0-2080.0,264,98,0.3712121212121212,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2080.0-2081.0,259,63,0.24324324324324326,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2081.0-2082.0,235,87,0.3702127659574468,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2082.0-2083.0,244,89,0.36475409836065575,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2083.0-2084.0,238,105,0.4411764705882353,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2084.0-2085.0,255,76,0.2980392156862745,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2085.0-2086.0,271,73,0.2693726937269373,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2086.0-2087.0,288,72,0.25,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2087.0-2088.0,238,82,0.3445378151260504,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2088.0-2089.0,238,94,0.3949579831932773,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2089.0-2090.0,288,87,0.3020833333333333,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
