Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000456530903_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.456531,2000.456861,0.005816,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000467398920_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.467399,2000.467729,0.005776,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000478269786_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.47827,2000.47838,0.005736,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000489144092_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.489144,2000.489354,0.006116,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000500014595_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.500015,2000.500205,0.005736,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000510881115_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.510881,2000.510931,0.005616,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000521754779_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.521755,2000.522105,0.006116,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000532621303_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.532621,2000.532951,0.005737,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000543489192_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.543489,2000.543619,0.005637,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000554355825_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.554356,2000.554626,0.005676,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000565221553_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.565222,2000.565512,0.005716,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000576095535_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.576096,2000.576386,0.005756,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000586966190_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.586966,2000.587136,0.005717,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000597839131_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.597839,2000.598089,0.005996,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000608708592_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.608709,2000.608919,0.006176,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000619575405_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.619575,2000.619645,0.005617,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
