Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000303292394_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.303292,2000.303502,0.034311,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000311484415_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.311484,2000.311534,0.039349,4,6,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,1.658241,3.320415,22,22
2000319676429_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.319676,2000.344828,0.035766,4,0,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.05129047425784217",0.044679,3.320415,4.009487,22,22
2000327875923_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.327876,2000.344828,0.027566,4,0,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.05129047425784217",0.044679,3.320415,4.009487,22,22
2000336068841_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.336069,2000.349817,0.028316,4,3,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,1.658241,3.320415,22,22
2000344260630_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.344261,2000.349817,0.020124,4,3,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,1.658241,3.320415,22,22
2000352453899_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.352454,2000.36253,0.020326,4,1,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.05129047425784217",0.044679,1.814332,4.009487,22,22
2000360648903_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.360649,2000.36253,0.012131,4,1,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.05129047425784217",0.044679,1.814332,4.009487,22,22
2000368841816_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.368842,2000.370945,0.010149,4,2,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.05129047425784217",0.044679,1.658241,4.009487,22,22
2000377034921_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.377035,2000.378117,0.006598,4,1,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,1.658241,3.320415,22,22
2000385233926_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.385234,2000.385324,0.00451,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000393431081_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.393431,2000.393681,0.00501,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000401625628_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.401626,2000.401896,0.00451,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000409827041_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.409827,2000.410177,0.00469,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000418027054_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.418027,2000.418117,0.00445,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000426224804_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.426225,2000.426455,0.00457,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000434418206_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.434418,2000.434468,0.00463,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000442610194_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.44261,2000.44294,0.00511,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000450808658_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.450809,2000.450979,0.00463,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000459004134_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.459004,2000.459274,0.00449,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000467197230_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.467197,2000.467307,0.00453,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000475397078_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.475397,2000.475487,0.00463,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000483588886_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.483589,2000.483919,0.00479,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
